,repoName,repoURL
0,elasticsearch,https://github.com/elastic/elasticsearch
1,spring-boot,https://github.com/spring-projects/spring-boot.git
2,RxJava,https://github.com/Netflix/RxJava
3,rxjava,https://github.com/Netflix/rxjava
4,guava,https://github.com/google/guava
5,okhttp,https://github.com/square/okhttp.git
6,spring-framework,https://github.com/spring-projects/spring-framework
7,retrofit,https://github.com/square/retrofit
8,dubbo,https://github.com/apache/dubbo
9,glide,https://github.com/bumptech/glide
10,lottie-android,https://github.com/airbnb/lottie-android
11,butterknife,https://github.com/JakeWharton/butterknife
12,zxing,https://github.com/zxing/zxing
13,netty,https://github.com/netty/netty.git
14,EventBus,https://github.com/greenrobot/EventBus
15,fastjson,https://github.com/alibaba/fastjson
16,druid,https://github.com/alibaba/druid
17,hystrix,https://github.com/Netflix/hystrix
18,Hystrix,https://github.com/Netflix/Hystrix
19,WxJava,https://github.com/Wechat-Group/WxJava
20,weixin-java-tools,https://github.com/wechat-group/weixin-java-tools.git
21,RxAndroid,https://github.com/ReactiveX/RxAndroid
22,gson,https://github.com/google/gson
23,selenium,https://github.com/SeleniumHQ/selenium.git
24,picasso,https://github.com/square/picasso.git
25,Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader
26,libgdx,https://github.com/libgdx/libgdx
27,PhotoView,https://github.com/chrisbanes/PhotoView
28,fresco,https://github.com/facebook/fresco
29,jenkins,https://github.com/jenkinsci/jenkins.git
30,dagger,https://github.com/google/dagger.git
31,seata,https://github.com/seata/seata
32,easyexcel,https://github.com/alibaba/easyexcel
33,xxl-job,https://github.com/xuxueli/xxl-job
34,mybatis-3,https://github.com/mybatis/mybatis-3
35,canal,https://github.com/alibaba/canal.git
36,skywalking,https://github.com/apache/skywalking
37,zipkin,https://github.com/openzipkin/zipkin
38,zipkin-java,https://github.com/openzipkin/zipkin-java
39,HikariCP,https://github.com/brettwooldridge/HikariCP
40,CircleImageView,https://github.com/hdodenhof/CircleImageView
41,redisson,https://github.com/mrniko/redisson
42,flink,https://github.com/apache/flink.git
43,logger,https://github.com/orhanobut/logger
44,disruptor,https://github.com/LMAX-Exchange/disruptor
45,stetho,https://github.com/facebook/stetho
46,AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout
47,ARouter,https://github.com/Alibaba/ARouter
48,Sentinel,https://github.com/alibaba/Sentinel
49,java-deeplearning,https://github.com/agibsonccc/java-deeplearning.git
50,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j.git
51,graal,https://github.com/oracle/graal
52,nacos,https://github.com/alibaba/nacos
53,hutool,https://github.com/looly/hutool
54,greenDAO,https://github.com/greenrobot/greenDAO.git
55,androidannotations,https://github.com/excilys/androidannotations.git
56,android-async-http,https://github.com/loopj/android-async-http
57,vert.x,https://github.com/eclipse/vert.x
58,mockito,https://github.com/mockito/mockito
59,presto,https://github.com/facebook/presto
60,presto-query-formatter,https://github.com/prestodb-rocks/presto-query-formatter
61,sharding-jdbc,https://github.com/dangdangdotcom/sharding-jdbc
62,incubator-shardingsphere,https://github.com/apache/incubator-shardingsphere
63,vlayout,https://github.com/alibaba/vlayout
64,Android-ViewPagerIndicator,https://github.com/JakeWharton/Android-ViewPagerIndicator
65,jiecaovideoplayer,https://github.com/lipangit/jiecaovideoplayer
66,recyclerview-animators,https://github.com/wasabeef/recyclerview-animators
67,android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
68,Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView
69,FileDownloader,https://github.com/lingochamp/FileDownloader
70,guice,https://github.com/google/guice
71,jedis,https://github.com/xetorthio/jedis
72,elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik
73,eureka,https://github.com/Netflix/eureka
74,Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper
75,spark,https://github.com/perwendel/spark
76,webmagic,https://github.com/code4craft/webmagic.git
77,Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh
78,lombok,https://github.com/rzwitserloot/lombok
79,zuul,https://github.com/Netflix/zuul
80,Calligraphy,https://github.com/chrisjenx/Calligraphy
81,auto,https://github.com/google/auto
82,jib,https://github.com/GoogleContainerTools/jib
83,AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel
84,clojure,https://github.com/clojure/clojure
85,android-gif-drawable,https://github.com/koral--/android-gif-drawable
86,spring-boot-admin,https://github.com/codecentric/spring-boot-admin
87,zookeeper,https://github.com/apache/zookeeper.git
88,junit4,https://github.com/junit-team/junit4
89,mybatis-plus,https://github.com/baomidou/mybatis-plus
90,dropwizard,https://github.com/dropwizard/dropwizard
91,neo4j,https://github.com/neo4j/neo4j
92,manual,https://github.com/neo4j/manual
93,enterprise,https://github.com/neo4j/enterprise
94,caffeine,https://github.com/ben-manes/caffeine
95,grpc-java,https://github.com/grpc/grpc-java
96,glide-transformations,https://github.com/wasabeef/glide-transformations
97,RxLifecycle,https://github.com/trello/RxLifecycle
98,ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock.git
99,antlr4,https://github.com/antlr/antlr4.git
100,Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap
101,CoreNLP,https://github.com/stanfordnlp/CoreNLP.git
102,cas,https://github.com/Jasig/cas.git
103,zaproxy,https://github.com/zaproxy/zaproxy
104,metrics,https://github.com/dropwizard/metrics
105,hsweb-framework,https://github.com/hs-web/hsweb-framework
106,SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout
107,Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket
108,PagerSlidingTabStrip,https://github.com/astuetz/PagerSlidingTabStrip
109,sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog
110,hugo,https://github.com/JakeWharton/hugo
111,AndroidAsync,https://github.com/koush/AndroidAsync
112,ShortcutBadger,https://github.com/leolin310148/ShortcutBadger
113,swagger-core,https://github.com/swagger-api/swagger-core
114,hellocharts-android,https://github.com/lecho/hellocharts-android
115,javapoet,https://github.com/square/javapoet
116,javawriter,https://github.com/square/javawriter.git
117,epoxy,https://github.com/airbnb/epoxy
118,ion,https://github.com/koush/ion
119,android-floating-action-button,https://github.com/futuresimple/android-floating-action-button
120,moshi,https://github.com/square/moshi
121,AndPermission,https://github.com/yanzhenjie/AndPermission
122,che,https://github.com/eclipse/che
123,jjwt,https://github.com/jwtk/jjwt
124,android-gpuimage,https://github.com/cyberagent/android-gpuimage
125,Activiti,https://github.com/Activiti/Activiti.git
126,Material,https://github.com/rey5137/Material
127,RoundedImageView,https://github.com/vinc3m1/RoundedImageView
128,elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql
129,ListViewAnimations,https://github.com/nhaarman/ListViewAnimations
130,PreferenceFragment,https://github.com/kongnanlive/PreferenceFragment
131,NumberProgressBar,https://github.com/daimajia/NumberProgressBar
132,otter,https://github.com/alibaba/otter
133,angel,https://github.com/Tencent/angel
134,MaterialEditText,https://github.com/rengwuxian/MaterialEditText
135,AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider
136,jna,https://github.com/twall/jna
137,SwipeBackLayout,https://github.com/Issacw0ng/SwipeBackLayout
138,closure-compiler,https://github.com/google/closure-compiler
139,feign,https://github.com/Netflix/feign
140,rebound,https://github.com/facebook/rebound.git
141,circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button
142,SystemBarTint,https://github.com/jgilfelt/SystemBarTint
143,motan,https://github.com/weibocom/motan
144,gocd,https://github.com/gocd/gocd
145,android-job,https://github.com/evernote/android-job
146,j2objc,https://github.com/google/j2objc
147,mosby,https://github.com/sockeqwe/mosby
148,processing,https://github.com/processing/processing.git
149,twoway-view,https://github.com/lucasr/twoway-view
150,async-http-client,https://github.com/AsyncHttpClient/async-http-client.git
151,ansj_seg,https://github.com/ansjsun/ansj_seg
152,material-calendarview,https://github.com/prolificinteractive/material-calendarview
153,keycloak,https://github.com/keycloak/keycloak.git
